Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
35047,King--Vaughan,Mubarak Ahmed,24352,35.9,Anna Roberts,41682,61.5,Samantha Sanchez,769,1.1,Ann Raney,576,0.9,N/A,N/A,N/A,Anna Roberts,Conservative
12008,Kings--Hants,Kody Blois,35836,60.6,Joel Hirtle,19773,33.4,Paul Doerr,2154,3.6,Karen Beazley,825,1.4,N/A,N/A,N/A,Kody Blois,Liberal
35046,Kingston and the Islands,Mark Gerretsen,48682,63.2,Bryan Paterson,23592,30.6,Daria Juüdi-Hope,3648,4.7,Fintan Hartnett,1071,1.4,N/A,N/A,N/A,Mark Gerretsen,Liberal
35048,Kitchener Centre,Brian Adeba,17292,29.3,Kelly DeRidder,20234,34.2,Heather Zaleski,1157,2,Mike Morrice,19859,33.6,N/A,N/A,N/A,Kelly DeRidder,Conservative
35050,Kitchener South--Hespeler,Valerie Bradford,27945,46.2,Matt Strauss,28973,47.9,Lorne Bruce,1823,3,Ethan Russell,1208,2,N/A,N/A,N/A,Matt Strauss,Conservative
35049,Kitchener--Conestoga,Tim Louis,30001,48.3,Doug Treleaven,29479,47.5,Maya Bozorgzad,1821,2.9,N/A,N/A,N/A,N/A,N/A,N/A,Tim Louis,Liberal
24031,La Pointe-de-l'Île,Viviane Minko,20051,37.7,Violetta Potapova,6781,12.7,Ghada Chaabi,2279,4.3,Olivier Huard,977,1.8,Mario Beaulieu,22940,43.1,Mario Beaulieu,Bloc
24032,La Prairie--Atateken,Jacques Ramsay,29418,44.1,Dave Pouliot,11505,17.2,Mathieu Boisvert,1588,2.4,Barbara Joannette,657,1,Alain Therrien,23232,34.8,Jacques Ramsay,Liberal
10004,Labrador,Philip Earle,5811,51.5,Ella Wallace,4709,41.7,Marius Normore,764,6.8,N/A,N/A,N/A,N/A,N/A,N/A,Philip Earle,Liberal
24033,Lac-Saint-Jean,Denis Lemieux,12536,26.3,Dave Blackburn,11792,24.7,Hugues Boily-Maltais,819,1.7,N/A,N/A,N/A,Alexis Brunelle-Duceppe,22069,46.2,Alexis Brunelle-Duceppe,Bloc
24034,Lac-Saint-Louis,Francis Scarpaleggia,43446,67.6,Matthew Rusniak,15203,23.7,Gregory Evdokias,1877,2.9,Raymond Frizzell,915,1.4,Tommy Fournier,2330,3.6,Francis Scarpaleggia,Liberal
48027,Lakeland,Barry Milaney,6886,12.2,Shannon Stubbs,45826,81,Des Bissonnette,2153,3.8,Bridget Burns,411,0.7,N/A,N/A,N/A,Shannon Stubbs,Conservative
35051,Lanark--Frontenac,Michelle Foxton,30900,45.6,Scott Reid,34186,50.4,Danielle Rae,1986,2.9,Jesse Pauley,741,1.1,N/A,N/A,N/A,Scott Reid,Conservative
59017,Langley Township--Fraser Heights,John Aldag,28034,42.9,Tako Van Popta,33574,51.4,Holly Isaac,2611,4,Debora Soutar,491,0.8,N/A,N/A,N/A,Tako Van Popta,Conservative
24035,LaSalle--Émard--Verdun,Claude Guay,27439,50.9,Zsolt Fischer,7456,13.8,Craig Sauvé,5587,10.4,Bisma Ansari,1298,2.4,Louis-Philippe Sauvé,11467,21.3,Claude Guay,Liberal
24036,Laurentides--Labelle,Emrick Vienneau,18514,34.9,Daniel Paquette,7900,14.9,Michel Noël De Tilly,1341,2.5,Michel Le Comte,864,1.6,Marie-Hélène Gaudreau,23615,44.6,Marie-Hélène Gaudreau,Bloc
24037,Laurier--Sainte-Marie,Steven Guilbeault,27286,52.1,Mathieu Fournier,4796,9.2,Nimâ Machouf,9856,18.8,Dylan Perceval-Maxwell,1452,2.8,Emmanuel Lapierre,8079,15.4,Steven Guilbeault,Liberal
24038,Laval--Les Îles,Fayçal El-Khoury,28302,49.7,Konstantinos Merakos,18355,32.2,Étienne Loiselle-Schiettekatte,1961,3.4,N/A,N/A,N/A,Catherine Dansereau-Redhead,8298,14.6,Fayçal El-Khoury,Liberal
48028,Leduc--Wetaskiwin,Ronald Brochu,11136,17.4,Mike Lake,47947,74.7,Katherine Swampy,3927,6.1,N/A,N/A,N/A,N/A,N/A,N/A,Mike Lake,Conservative
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Lorna Jean Edmonds,29656,44.4,Michael Barrett,33437,50,Paul Lancione,2341,3.5,Randi Ramdeen,781,1.2,N/A,N/A,N/A,Michael Barrett,Conservative
24039,Les Pays-d'en-Haut,Tim Watchorn,26967,41,Vincent Leroux,11816,18,Eric-Abel Baland,1493,2.3,Karine Steinberger,1038,1.6,Ariane Charbonneau,23750,36.1,Tim Watchorn,Liberal
48029,Lethbridge,Chris Spearman,21899,32.7,Rachael Thomas,40866,61.1,Nathan Svoboda,2431,3.6,Amber Murray,457,0.7,N/A,N/A,N/A,Rachael Thomas,Conservative
